anomaly_id,detected_at,anomaly_type,severity,zone_id,metric_name,expected_value,actual_value,z_score,description,alert_sent
1,2026-02-19 05:08:20.520332,fare_spike,medium,163,avg_fare,18.084840600544503,40.53615384615385,3.1647729001073044,Zone 163: avg fare $40.54 (z-score: 3.2) on 2024-01-03 at 6:00,f
2,2026-02-19 05:08:20.520332,fare_spike,critical,132,avg_fare,61.41968063326861,37.2,4.719775898492822,Zone 132: avg fare $37.20 (z-score: 4.7) on 2024-01-01 at 3:00,f
3,2026-02-19 05:08:20.520332,fare_spike,critical,263,avg_fare,14.053932480473913,38.595,7.495762815539736,Zone 263: avg fare $38.59 (z-score: 7.5) on 2024-01-04 at 4:00,f
4,2026-02-19 05:08:20.520332,fare_spike,critical,246,avg_fare,16.104702766725715,29.326,4.473432760120017,Zone 246: avg fare $29.33 (z-score: 4.5) on 2024-01-01 at 8:00,f
5,2026-02-19 05:08:20.520332,fare_spike,critical,170,avg_fare,16.145520046651317,35.1,4.0517885561538725,Zone 170: avg fare $35.10 (z-score: 4.1) on 2024-01-06 at 3:00,f
6,2026-02-19 05:08:20.520332,fare_spike,medium,231,avg_fare,18.504092463100008,30.782500000000002,3.359577559587483,Zone 231: avg fare $30.78 (z-score: 3.4) on 2024-01-01 at 5:00,f
7,2026-02-19 05:08:20.520332,fare_spike,critical,41,avg_fare,16.4094544764174,34.66583333333333,4.460216407014073,Zone 41: avg fare $34.67 (z-score: 4.5) on 2024-01-02 at 18:00,f
8,2026-02-19 05:08:20.520332,fare_spike,medium,65,avg_fare,26.716504828490862,50.01666666666667,3.4295689100065734,Zone 65: avg fare $50.02 (z-score: 3.4) on 2024-01-05 at 16:00,f
9,2026-02-19 05:08:20.520332,fare_spike,medium,230,avg_fare,20.901285852829634,44.56363636363636,3.4874277364065325,Zone 230: avg fare $44.56 (z-score: 3.5) on 2024-01-04 at 4:00,f
10,2026-02-19 05:08:20.520332,fare_spike,critical,262,avg_fare,15.239897195694354,40.16,6.126455446189212,Zone 262: avg fare $40.16 (z-score: 6.1) on 2024-01-04 at 4:00,f
11,2026-02-19 05:08:20.520332,fare_spike,critical,161,avg_fare,18.41487579279896,55.668000000000006,4.732277343776485,Zone 161: avg fare $55.67 (z-score: 4.7) on 2024-01-02 at 4:00,f
12,2026-02-19 05:08:20.520332,fare_spike,medium,132,avg_fare,61.41968063326861,45.717692307692296,3.0599026956479376,Zone 132: avg fare $45.72 (z-score: 3.1) on 2024-01-03 at 4:00,f
13,2026-02-19 05:08:20.520332,fare_spike,critical,170,avg_fare,16.145520046651317,37.7,4.607575381850396,Zone 170: avg fare $37.70 (z-score: 4.6) on 2024-01-03 at 3:00,f
14,2026-02-19 05:08:20.520332,fare_spike,medium,125,avg_fare,16.360589011514172,28.807142857142857,3.4588913114686592,Zone 125: avg fare $28.81 (z-score: 3.5) on 2024-01-02 at 12:00,f
15,2026-02-19 05:08:20.520332,fare_spike,critical,186,avg_fare,16.48856466337831,31.28888888888889,4.461890177769271,Zone 186: avg fare $31.29 (z-score: 4.5) on 2024-01-06 at 4:00,f
16,2026-02-19 05:08:20.520332,fare_spike,critical,68,avg_fare,17.08953210071127,41.98571428571428,7.508016546463645,Zone 68: avg fare $41.99 (z-score: 7.5) on 2024-01-02 at 2:00,f
17,2026-02-19 05:08:20.520332,fare_spike,medium,233,avg_fare,17.129718306689924,34.9,3.251007188121618,Zone 233: avg fare $34.90 (z-score: 3.3) on 2024-01-04 at 2:00,f
18,2026-02-19 05:08:20.520332,fare_spike,critical,48,avg_fare,15.90242684992732,35.513999999999996,6.173984867407203,Zone 48: avg fare $35.51 (z-score: 6.2) on 2024-01-02 at 4:00,f
19,2026-02-19 05:08:20.520332,fare_spike,medium,152,avg_fare,18.461021508633966,34.955,3.3769993679436996,Zone 152: avg fare $34.95 (z-score: 3.4) on 2024-01-01 at 1:00,f
20,2026-02-19 05:08:20.520332,fare_spike,high,161,avg_fare,18.41487579279896,49.433333333333344,3.9402854654963293,Zone 161: avg fare $49.43 (z-score: 3.9) on 2024-01-03 at 4:00,f
21,2026-02-19 05:08:20.520332,fare_spike,medium,97,avg_fare,24.55629079780299,44.79,3.268231869273253,Zone 97: avg fare $44.79 (z-score: 3.3) on 2024-01-05 at 22:00,f
22,2026-02-19 05:08:20.520332,fare_spike,high,148,avg_fare,18.558048169111604,33.09047619047619,3.520668060958431,Zone 148: avg fare $33.09 (z-score: 3.5) on 2024-01-03 at 14:00,f
23,2026-02-19 05:08:20.520332,fare_spike,medium,246,avg_fare,16.104702766725715,26.06795180722892,3.3710704682481074,Zone 246: avg fare $26.07 (z-score: 3.4) on 2024-01-01 at 1:00,f
24,2026-02-19 05:08:20.520332,fare_spike,high,229,avg_fare,14.631319489581486,28.428571428571427,3.6021705000526056,Zone 229: avg fare $28.43 (z-score: 3.6) on 2024-01-04 at 4:00,f
25,2026-02-19 05:08:20.520332,fare_spike,critical,68,avg_fare,17.08953210071127,37.166,6.054520812159125,Zone 68: avg fare $37.17 (z-score: 6.1) on 2024-01-06 at 5:00,f
26,2026-02-19 05:08:20.520332,fare_spike,critical,125,avg_fare,16.360589011514172,32.3025,4.430249375866108,Zone 125: avg fare $32.30 (z-score: 4.4) on 2024-01-01 at 13:00,f
27,2026-02-19 05:08:20.520332,fare_spike,critical,90,avg_fare,15.21112789589782,36.36666666666666,5.513103491736864,Zone 90: avg fare $36.37 (z-score: 5.5) on 2024-01-06 at 6:00,f
28,2026-02-19 05:08:20.520332,fare_spike,critical,229,avg_fare,14.631319489581486,39.900000000000006,6.5971177385449185,Zone 229: avg fare $39.90 (z-score: 6.6) on 2024-01-05 at 5:00,f
29,2026-02-19 05:08:20.520332,fare_spike,medium,158,avg_fare,17.04033997259867,27.571428571428573,3.098666887304373,Zone 158: avg fare $27.57 (z-score: 3.1) on 2024-01-02 at 13:00,f
30,2026-02-19 05:08:20.520332,fare_spike,medium,161,avg_fare,18.41487579279896,44.712857142857146,3.3406417308183993,Zone 161: avg fare $44.71 (z-score: 3.3) on 2024-01-02 at 5:00,f
31,2026-02-19 05:08:20.520332,fare_spike,critical,237,avg_fare,13.464801409319813,29.140000000000004,4.286570948641651,Zone 237: avg fare $29.14 (z-score: 4.3) on 2024-01-06 at 4:00,f
32,2026-02-19 05:08:20.520332,fare_spike,critical,249,avg_fare,15.059448522260292,34.458333333333336,6.2155345770746475,Zone 249: avg fare $34.46 (z-score: 6.2) on 2024-01-05 at 5:00,f
33,2026-02-19 05:08:20.520332,fare_spike,high,230,avg_fare,20.901285852829634,46.95,3.839137120933048,Zone 230: avg fare $46.95 (z-score: 3.8) on 2024-01-03 at 5:00,f
34,2026-02-19 05:08:20.520332,fare_spike,critical,87,avg_fare,23.232688864932953,45.28333333333333,4.924708955060454,Zone 87: avg fare $45.28 (z-score: 4.9) on 2024-01-01 at 7:00,f
35,2026-02-19 05:08:20.520332,fare_spike,medium,158,avg_fare,17.04033997259867,28.698333333333338,3.430247277886966,Zone 158: avg fare $28.70 (z-score: 3.4) on 2024-01-01 at 12:00,f
36,2026-02-19 05:08:20.520332,fare_spike,high,163,avg_fare,18.084840600544503,43.3125,3.556131079154036,Zone 163: avg fare $43.31 (z-score: 3.6) on 2024-01-03 at 5:00,f
37,2026-02-19 05:08:20.520332,fare_spike,critical,79,avg_fare,15.414520198126782,33.03285714285714,7.041830201792599,Zone 79: avg fare $33.03 (z-score: 7.0) on 2024-01-03 at 4:00,f
38,2026-02-19 05:08:20.520332,fare_spike,critical,163,avg_fare,18.084840600544503,65.04285714285713,6.619276857890014,Zone 163: avg fare $65.04 (z-score: 6.6) on 2024-01-02 at 3:00,f
